"NACE_R2","GEO","TIME","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"Air transport","Belgium","2015","Employed persons","Total","Thousand","10.1",""
"Air transport","Bulgaria","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Czech Republic","2015","Employed persons","Total","Thousand","3.7",""
"Air transport","Denmark","2015","Employed persons","Total","Thousand","6.1",""
"Air transport","Germany (until 1990 former territory of the FRG)","2015","Employed persons","Total","Thousand","77.0",""
"Air transport","Estonia","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Ireland","2015","Employed persons","Total","Thousand","10.7",""
"Air transport","Greece","2015","Employed persons","Total","Thousand","9.1",""
"Air transport","Spain","2015","Employed persons","Total","Thousand","41.1",""
"Air transport","France","2015","Employed persons","Total","Thousand","86.7",""
"Air transport","Croatia","2015","Employed persons","Total","Thousand",":",""
"Air transport","Italy","2015","Employed persons","Total","Thousand","24.3",""
"Air transport","Cyprus","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Latvia","2015","Employed persons","Total","Thousand","1.5","u"
"Air transport","Lithuania","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Luxembourg","2015","Employed persons","Total","Thousand","2.3","b"
"Air transport","Hungary","2015","Employed persons","Total","Thousand","5.4",""
"Air transport","Malta","2015","Employed persons","Total","Thousand","1.7",""
"Air transport","Netherlands","2015","Employed persons","Total","Thousand","24.8",""
"Air transport","Austria","2015","Employed persons","Total","Thousand","7.9",""
"Air transport","Poland","2015","Employed persons","Total","Thousand","9.9","u"
"Air transport","Portugal","2015","Employed persons","Total","Thousand","10.2",""
"Air transport","Romania","2015","Employed persons","Total","Thousand","8.0","u"
"Air transport","Slovenia","2015","Employed persons","Total","Thousand","0.8","u"
"Air transport","Slovakia","2015","Employed persons","Total","Thousand","2.6","u"
"Air transport","Finland","2015","Employed persons","Total","Thousand","5.3",""
"Air transport","Sweden","2015","Employed persons","Total","Thousand","6.5",""
"Air transport","United Kingdom","2015","Employed persons","Total","Thousand","68.2",""
"Air transport","Iceland","2015","Employed persons","Total","Thousand","2.1",""
"Air transport","Norway","2015","Employed persons","Total","Thousand","6.9",""
"Air transport","Switzerland","2015","Employed persons","Total","Thousand","8.5",""
"Air transport","Former Yugoslav Republic of Macedonia, the","2015","Employed persons","Total","Thousand",":","c"
"Air transport","Turkey","2015","Employed persons","Total","Thousand","29.9",""
"Accommodation and food service activities","Belgium","2015","Employed persons","Total","Thousand","155.6",""
"Accommodation and food service activities","Bulgaria","2015","Employed persons","Total","Thousand","158.3",""
"Accommodation and food service activities","Czech Republic","2015","Employed persons","Total","Thousand","197.2",""
"Accommodation and food service activities","Denmark","2015","Employed persons","Total","Thousand","119.4",""
"Accommodation and food service activities","Germany (until 1990 former territory of the FRG)","2015","Employed persons","Total","Thousand","1,548.7",""
"Accommodation and food service activities","Estonia","2015","Employed persons","Total","Thousand","26.1",""
"Accommodation and food service activities","Ireland","2015","Employed persons","Total","Thousand","138.0",""
"Accommodation and food service activities","Greece","2015","Employed persons","Total","Thousand","325.5",""
"Accommodation and food service activities","Spain","2015","Employed persons","Total","Thousand","1,505.2",""
"Accommodation and food service activities","France","2015","Employed persons","Total","Thousand","994.9",""
"Accommodation and food service activities","Croatia","2015","Employed persons","Total","Thousand","102.3",""
"Accommodation and food service activities","Italy","2015","Employed persons","Total","Thousand","1,333.9",""
"Accommodation and food service activities","Cyprus","2015","Employed persons","Total","Thousand","29.3",""
"Accommodation and food service activities","Latvia","2015","Employed persons","Total","Thousand","30.4",""
