"NACE_R2","TIME","GEO","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"Air transport","2008","European Union (28 countries)","Employed persons","Total","Thousand","454.8","b"
"Air transport","2009","European Union (28 countries)","Employed persons","Total","Thousand","461.3",""
"Air transport","2010","European Union (28 countries)","Employed persons","Total","Thousand","463.8",""
"Air transport","2011","European Union (28 countries)","Employed persons","Total","Thousand","467.9",""
"Air transport","2012","European Union (28 countries)","Employed persons","Total","Thousand","450.9",""
"Air transport","2013","European Union (28 countries)","Employed persons","Total","Thousand","424.1",""
"Air transport","2014","European Union (28 countries)","Employed persons","Total","Thousand","441.3",""
"Air transport","2015","European Union (28 countries)","Employed persons","Total","Thousand","427.8",""
"Accommodation and food service activities","2008","European Union (28 countries)","Employed persons","Total","Thousand","9,400.9","b"
"Accommodation and food service activities","2009","European Union (28 countries)","Employed persons","Total","Thousand","9,489.7",""
"Accommodation and food service activities","2010","European Union (28 countries)","Employed persons","Total","Thousand","9,524.5",""
"Accommodation and food service activities","2011","European Union (28 countries)","Employed persons","Total","Thousand","9,615.3",""
"Accommodation and food service activities","2012","European Union (28 countries)","Employed persons","Total","Thousand","9,676.9",""
"Accommodation and food service activities","2013","European Union (28 countries)","Employed persons","Total","Thousand","9,636.1",""
"Accommodation and food service activities","2014","European Union (28 countries)","Employed persons","Total","Thousand","9,938.5",""
"Accommodation and food service activities","2015","European Union (28 countries)","Employed persons","Total","Thousand","10,338.5",""
"Accommodation","2008","European Union (28 countries)","Employed persons","Total","Thousand","2,320.4","b"
"Accommodation","2009","European Union (28 countries)","Employed persons","Total","Thousand","2,340.3",""
"Accommodation","2010","European Union (28 countries)","Employed persons","Total","Thousand","2,319.4",""
"Accommodation","2011","European Union (28 countries)","Employed persons","Total","Thousand","2,392.7",""
"Accommodation","2012","European Union (28 countries)","Employed persons","Total","Thousand","2,383.8",""
"Accommodation","2013","European Union (28 countries)","Employed persons","Total","Thousand","2,401.4",""
"Accommodation","2014","European Union (28 countries)","Employed persons","Total","Thousand","2,447.7",""
"Accommodation","2015","European Union (28 countries)","Employed persons","Total","Thousand","2,527.6",""
"Travel agency, tour operator reservation service and related activities","2008","European Union (28 countries)","Employed persons","Total","Thousand","611.9","b"
"Travel agency, tour operator reservation service and related activities","2009","European Union (28 countries)","Employed persons","Total","Thousand","607.4",""
"Travel agency, tour operator reservation service and related activities","2010","European Union (28 countries)","Employed persons","Total","Thousand","600.6",""
"Travel agency, tour operator reservation service and related activities","2011","European Union (28 countries)","Employed persons","Total","Thousand","564.5",""
"Travel agency, tour operator reservation service and related activities","2012","European Union (28 countries)","Employed persons","Total","Thousand","599.8",""
"Travel agency, tour operator reservation service and related activities","2013","European Union (28 countries)","Employed persons","Total","Thousand","615.7",""
"Travel agency, tour operator reservation service and related activities","2014","European Union (28 countries)","Employed persons","Total","Thousand","619.9",""
"Travel agency, tour operator reservation service and related activities","2015","European Union (28 countries)","Employed persons","Total","Thousand","629.2",""
