"TIME","GEO","INDIC_TO","UNIT","NACE_R2","Value"
"2008","Belgium","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","13,611,137"
"2008","Belgium","Total nights spent by residents","Number","Hotels and similar accommodation","5,421,502"
"2008","Belgium","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","8,189,635"
"2008","Belgium","Total nights spent by residents","Number","Holiday and other short-stay accommodation","7,076,329"
"2008","Belgium","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","1,113,306"
"2008","Belgium","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","16,360,702"
"2008","Belgium","Total nights spent by non-residents","Number","Hotels and similar accommodation","11,119,811"
"2008","Belgium","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5,240,891"
"2008","Belgium","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","3,558,255"
"2008","Belgium","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","1,682,636"
"2008","Belgium","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","29,971,839"
"2008","Belgium","Nights spent, total","Number","Hotels and similar accommodation","16,541,313"
"2008","Belgium","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","13,430,526"
"2008","Belgium","Nights spent, total","Number","Holiday and other short-stay accommodation","10,634,584"
"2008","Belgium","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","2,795,942"
"2008","Bulgaria","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","6,391,469"
"2008","Bulgaria","Total nights spent by residents","Number","Hotels and similar accommodation","5,369,953"
"2008","Bulgaria","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,021,516"
"2008","Bulgaria","Total nights spent by residents","Number","Holiday and other short-stay accommodation","965,097"
"2008","Bulgaria","Total nights spent by residents","Number","Camping grounds, recreational vehicle parks and trailer parks","56,419"
"2008","Bulgaria","Total nights spent by non-residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","11,791,454"
"2008","Bulgaria","Total nights spent by non-residents","Number","Hotels and similar accommodation","11,640,780"
"2008","Bulgaria","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","150,674"
"2008","Bulgaria","Total nights spent by non-residents","Number","Holiday and other short-stay accommodation","139,189"
"2008","Bulgaria","Total nights spent by non-residents","Number","Camping grounds, recreational vehicle parks and trailer parks","11,485"
"2008","Bulgaria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","18,182,923"
"2008","Bulgaria","Nights spent, total","Number","Hotels and similar accommodation","17,010,733"
"2008","Bulgaria","Nights spent, total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,172,190"
"2008","Bulgaria","Nights spent, total","Number","Holiday and other short-stay accommodation","1,104,286"
"2008","Bulgaria","Nights spent, total","Number","Camping grounds, recreational vehicle parks and trailer parks","67,904"
"2008","Czech Republic","Total nights spent by residents","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","19,296,452"
"2008","Czech Republic","Total nights spent by residents","Number","Hotels and similar accommodation","9,686,059"
"2008","Czech Republic","Total nights spent by residents","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","9,610,393"
"2008","Czech Republic","Total nights spent by residents","Number","Holiday and other short-stay accommodation","7,678,600"
