"TIME","GEO","NACE_R2","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"2008","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,445.9",""
"2008","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","3,360.7","b"
"2008","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","5,002.5",""
"2008","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,852.8",""
"2008","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","38,541.5",""
"2008","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","656.0",""
"2008","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","2,128.4",""
"2008","Greece","Total - all NACE activities","Employed persons","Total","Thousand","4,610.5",""
"2008","Spain","Total - all NACE activities","Employed persons","Total","Thousand","20,469.7",""
"2008","France","Total - all NACE activities","Employed persons","Total","Thousand","25,926.4",""
"2008","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,770.5",""
"2008","Italy","Total - all NACE activities","Employed persons","Total","Thousand","23,090.3",""
"2008","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","382.9",""
"2008","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","1,054.9",""
"2008","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,427.1",""
"2008","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","202.4",""
"2008","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","3,848.3",""
"2008","Malta","Total - all NACE activities","Employed persons","Total","Thousand","158.6",""
"2008","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,592.7",""
"2008","Austria","Total - all NACE activities","Employed persons","Total","Thousand","3,994.1",""
"2008","Poland","Total - all NACE activities","Employed persons","Total","Thousand","15,799.8",""
"2008","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","5,116.6",""
"2008","Romania","Total - all NACE activities","Employed persons","Total","Thousand","9,369.1",""
"2008","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","996.1",""
"2008","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,433.7",""
"2008","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,530.9","b"
"2008","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,593.0",""
"2008","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","29,520.2","b"
"2008","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","177.1",""
"2008","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,513.7",""
"2008","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,228.8",""
"2008","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","609.0",""
"2008","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","21,193.0",""
"2009","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,420.7",""
"2009","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","3,253.6",""
"2009","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","4,934.3",""
"2009","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,770.5",""
"2009","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","38,471.1",""
"2009","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","593.9",""
"2009","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,961.3","b"
"2009","Greece","Total - all NACE activities","Employed persons","Total","Thousand","4,556.0","b"
"2009","Spain","Total - all NACE activities","Employed persons","Total","Thousand","19,106.9",""
"2009","France","Total - all NACE activities","Employed persons","Total","Thousand","25,674.4",""
"2009","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,757.0",""
"2009","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,698.7",""
"2009","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","382.9","b"
"2009","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","908.5",""
"2009","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,317.4",""
"2009","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","217.2","b"
"2009","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","3,747.7",""
"2009","Malta","Total - all NACE activities","Employed persons","Total","Thousand","159.5",""
"2009","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,596.1",""
"2009","Austria","Total - all NACE activities","Employed persons","Total","Thousand","3,982.2",""
"2009","Poland","Total - all NACE activities","Employed persons","Total","Thousand","15,868.0",""
"2009","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","4,968.6",""
"2009","Romania","Total - all NACE activities","Employed persons","Total","Thousand","9,243.5",""
"2009","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","980.7",""
"2009","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,366.3",""
"2009","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,457.3",""
"2009","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,499.3",""
"2009","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","29,058.7",""
"2009","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","166.2",""
"2009","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,499.5",""
"2009","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,268.0",""
"2009","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","629.9",""
"2009","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","21,270.7",""
"2010","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,488.7",""
"2010","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","3,075.3","b"
"2010","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","4,885.2",""
"2010","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,706.1",""
"2010","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","37,993.4","b"
"2010","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","568.0",""
"2010","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,882.2",""
"2010","Greece","Total - all NACE activities","Employed persons","Total","Thousand","4,389.8",""
"2010","Spain","Total - all NACE activities","Employed persons","Total","Thousand","18,724.5",""
"2010","France","Total - all NACE activities","Employed persons","Total","Thousand","25,730.9",""
"2010","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,690.2",""
"2010","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,526.9",""
"2010","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","395.2",""
"2010","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","850.7",""
"2010","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,247.7",""
