"TIME","GEO","NACE_R2","AGE","WSTATUS","UNIT","Value"
"2008","Belgium","Total - all NACE activities","From 15 to 24 years","Employed persons","Thousand","355.6"
"2008","Belgium","Total - all NACE activities","From 15 to 24 years","Employees","Thousand","338.9"
"2008","Belgium","Total - all NACE activities","From 15 to 24 years","Self-employed persons","Thousand","14.0"
"2008","Belgium","Total - all NACE activities","From 15 to 24 years","Contributing family workers","Thousand","2.7"
"2008","Belgium","Total - all NACE activities","From 15 to 24 years","No response","Thousand",":"
"2008","Belgium","Total - all NACE activities","From 25 to 34 years","Employed persons","Thousand","1,127.9"
"2008","Belgium","Total - all NACE activities","From 25 to 34 years","Employees","Thousand","1,016.2"
"2008","Belgium","Total - all NACE activities","From 25 to 34 years","Self-employed persons","Thousand","106.8"
"2008","Belgium","Total - all NACE activities","From 25 to 34 years","Contributing family workers","Thousand","4.8"
"2008","Belgium","Total - all NACE activities","From 25 to 34 years","No response","Thousand",":"
"2008","Belgium","Total - all NACE activities","From 35 to 44 years","Employed persons","Thousand","1,305.1"
"2008","Belgium","Total - all NACE activities","From 35 to 44 years","Employees","Thousand","1,108.2"
"2008","Belgium","Total - all NACE activities","From 35 to 44 years","Self-employed persons","Thousand","182.1"
"2008","Belgium","Total - all NACE activities","From 35 to 44 years","Contributing family workers","Thousand","14.8"
"2008","Belgium","Total - all NACE activities","From 35 to 44 years","No response","Thousand",":"
"2008","Belgium","Total - all NACE activities","From 45 to 54 years","Employed persons","Thousand","1,182.7"
"2008","Belgium","Total - all NACE activities","From 45 to 54 years","Employees","Thousand","1,003.6"
"2008","Belgium","Total - all NACE activities","From 45 to 54 years","Self-employed persons","Thousand","162.0"
"2008","Belgium","Total - all NACE activities","From 45 to 54 years","Contributing family workers","Thousand","17.1"
"2008","Belgium","Total - all NACE activities","From 45 to 54 years","No response","Thousand",":"
"2008","Belgium","Air transport","From 15 to 24 years","Employed persons","Thousand",":"
"2008","Belgium","Air transport","From 15 to 24 years","Employees","Thousand",":"
"2008","Belgium","Air transport","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Belgium","Air transport","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Belgium","Air transport","From 15 to 24 years","No response","Thousand",":"
"2008","Belgium","Air transport","From 25 to 34 years","Employed persons","Thousand","4.3"
"2008","Belgium","Air transport","From 25 to 34 years","Employees","Thousand","4.3"
"2008","Belgium","Air transport","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Belgium","Air transport","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Belgium","Air transport","From 25 to 34 years","No response","Thousand",":"
"2008","Belgium","Air transport","From 35 to 44 years","Employed persons","Thousand","3.7"
"2008","Belgium","Air transport","From 35 to 44 years","Employees","Thousand","3.6"
"2008","Belgium","Air transport","From 35 to 44 years","Self-employed persons","Thousand",":"
"2008","Belgium","Air transport","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Belgium","Air transport","From 35 to 44 years","No response","Thousand",":"
"2008","Belgium","Air transport","From 45 to 54 years","Employed persons","Thousand",":"
"2008","Belgium","Air transport","From 45 to 54 years","Employees","Thousand",":"
"2008","Belgium","Air transport","From 45 to 54 years","Self-employed persons","Thousand",":"
"2008","Belgium","Air transport","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Belgium","Air transport","From 45 to 54 years","No response","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 15 to 24 years","Employed persons","Thousand","21.4"
"2008","Belgium","Accommodation and food service activities","From 15 to 24 years","Employees","Thousand","19.7"
"2008","Belgium","Accommodation and food service activities","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 15 to 24 years","No response","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 25 to 34 years","Employed persons","Thousand","35.8"
"2008","Belgium","Accommodation and food service activities","From 25 to 34 years","Employees","Thousand","26.9"
"2008","Belgium","Accommodation and food service activities","From 25 to 34 years","Self-employed persons","Thousand","8.3"
"2008","Belgium","Accommodation and food service activities","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 25 to 34 years","No response","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 35 to 44 years","Employed persons","Thousand","41.5"
"2008","Belgium","Accommodation and food service activities","From 35 to 44 years","Employees","Thousand","26.0"
"2008","Belgium","Accommodation and food service activities","From 35 to 44 years","Self-employed persons","Thousand","14.3"
"2008","Belgium","Accommodation and food service activities","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 35 to 44 years","No response","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 45 to 54 years","Employed persons","Thousand","29.3"
"2008","Belgium","Accommodation and food service activities","From 45 to 54 years","Employees","Thousand","18.5"
"2008","Belgium","Accommodation and food service activities","From 45 to 54 years","Self-employed persons","Thousand","9.4"
"2008","Belgium","Accommodation and food service activities","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation and food service activities","From 45 to 54 years","No response","Thousand",":"
"2008","Belgium","Accommodation","From 15 to 24 years","Employed persons","Thousand","2.5"
"2008","Belgium","Accommodation","From 15 to 24 years","Employees","Thousand","2.5"
"2008","Belgium","Accommodation","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Belgium","Accommodation","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation","From 15 to 24 years","No response","Thousand",":"
"2008","Belgium","Accommodation","From 25 to 34 years","Employed persons","Thousand","6.6"
"2008","Belgium","Accommodation","From 25 to 34 years","Employees","Thousand","5.7"
"2008","Belgium","Accommodation","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Belgium","Accommodation","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation","From 25 to 34 years","No response","Thousand",":"
"2008","Belgium","Accommodation","From 35 to 44 years","Employed persons","Thousand","7.0"
"2008","Belgium","Accommodation","From 35 to 44 years","Employees","Thousand","6.1"
"2008","Belgium","Accommodation","From 35 to 44 years","Self-employed persons","Thousand",":"
"2008","Belgium","Accommodation","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation","From 35 to 44 years","No response","Thousand",":"
"2008","Belgium","Accommodation","From 45 to 54 years","Employed persons","Thousand","5.5"
"2008","Belgium","Accommodation","From 45 to 54 years","Employees","Thousand","4.8"
"2008","Belgium","Accommodation","From 45 to 54 years","Self-employed persons","Thousand",":"
"2008","Belgium","Accommodation","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Belgium","Accommodation","From 45 to 54 years","No response","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Employed persons","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Employees","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","No response","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Employed persons","Thousand","3.6"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Employees","Thousand","3.4"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 25 to 34 years","No response","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Employed persons","Thousand","3.5"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Employees","Thousand","2.9"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Self-employed persons","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 35 to 44 years","No response","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Employed persons","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Employees","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Self-employed persons","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Belgium","Travel agency, tour operator reservation service and related activities","From 45 to 54 years","No response","Thousand",":"
"2008","Bulgaria","Total - all NACE activities","From 15 to 24 years","Employed persons","Thousand","262.6"
"2008","Bulgaria","Total - all NACE activities","From 15 to 24 years","Employees","Thousand","250.0"
"2008","Bulgaria","Total - all NACE activities","From 15 to 24 years","Self-employed persons","Thousand","8.5"
"2008","Bulgaria","Total - all NACE activities","From 15 to 24 years","Contributing family workers","Thousand","4.0"
"2008","Bulgaria","Total - all NACE activities","From 15 to 24 years","No response","Thousand",":"
"2008","Bulgaria","Total - all NACE activities","From 25 to 34 years","Employed persons","Thousand","737.3"
"2008","Bulgaria","Total - all NACE activities","From 25 to 34 years","Employees","Thousand","673.7"
"2008","Bulgaria","Total - all NACE activities","From 25 to 34 years","Self-employed persons","Thousand","55.7"
"2008","Bulgaria","Total - all NACE activities","From 25 to 34 years","Contributing family workers","Thousand","7.8"
"2008","Bulgaria","Total - all NACE activities","From 25 to 34 years","No response","Thousand",":"
"2008","Bulgaria","Total - all NACE activities","From 35 to 44 years","Employed persons","Thousand","965.9"
"2008","Bulgaria","Total - all NACE activities","From 35 to 44 years","Employees","Thousand","839.5"
"2008","Bulgaria","Total - all NACE activities","From 35 to 44 years","Self-employed persons","Thousand","118.3"
"2008","Bulgaria","Total - all NACE activities","From 35 to 44 years","Contributing family workers","Thousand","8.1"
"2008","Bulgaria","Total - all NACE activities","From 35 to 44 years","No response","Thousand",":"
"2008","Bulgaria","Total - all NACE activities","From 45 to 54 years","Employed persons","Thousand","887.4"
"2008","Bulgaria","Total - all NACE activities","From 45 to 54 years","Employees","Thousand","769.2"
"2008","Bulgaria","Total - all NACE activities","From 45 to 54 years","Self-employed persons","Thousand","112.5"
"2008","Bulgaria","Total - all NACE activities","From 45 to 54 years","Contributing family workers","Thousand","5.7"
"2008","Bulgaria","Total - all NACE activities","From 45 to 54 years","No response","Thousand",":"
"2008","Bulgaria","Air transport","From 15 to 24 years","Employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 15 to 24 years","Employees","Thousand",":"
"2008","Bulgaria","Air transport","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Air transport","From 15 to 24 years","No response","Thousand",":"
"2008","Bulgaria","Air transport","From 25 to 34 years","Employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 25 to 34 years","Employees","Thousand",":"
"2008","Bulgaria","Air transport","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Air transport","From 25 to 34 years","No response","Thousand",":"
"2008","Bulgaria","Air transport","From 35 to 44 years","Employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 35 to 44 years","Employees","Thousand",":"
"2008","Bulgaria","Air transport","From 35 to 44 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Air transport","From 35 to 44 years","No response","Thousand",":"
"2008","Bulgaria","Air transport","From 45 to 54 years","Employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 45 to 54 years","Employees","Thousand",":"
"2008","Bulgaria","Air transport","From 45 to 54 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Air transport","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Air transport","From 45 to 54 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 15 to 24 years","Employed persons","Thousand","35.6"
"2008","Bulgaria","Accommodation and food service activities","From 15 to 24 years","Employees","Thousand","34.7"
"2008","Bulgaria","Accommodation and food service activities","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 15 to 24 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 25 to 34 years","Employed persons","Thousand","41.1"
"2008","Bulgaria","Accommodation and food service activities","From 25 to 34 years","Employees","Thousand","38.2"
"2008","Bulgaria","Accommodation and food service activities","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 25 to 34 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 35 to 44 years","Employed persons","Thousand","41.2"
"2008","Bulgaria","Accommodation and food service activities","From 35 to 44 years","Employees","Thousand","33.8"
"2008","Bulgaria","Accommodation and food service activities","From 35 to 44 years","Self-employed persons","Thousand","6.3"
"2008","Bulgaria","Accommodation and food service activities","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 35 to 44 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 45 to 54 years","Employed persons","Thousand","31.4"
"2008","Bulgaria","Accommodation and food service activities","From 45 to 54 years","Employees","Thousand","25.3"
"2008","Bulgaria","Accommodation and food service activities","From 45 to 54 years","Self-employed persons","Thousand","5.7"
"2008","Bulgaria","Accommodation and food service activities","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation and food service activities","From 45 to 54 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation","From 15 to 24 years","Employed persons","Thousand","5.1"
"2008","Bulgaria","Accommodation","From 15 to 24 years","Employees","Thousand","5.0"
"2008","Bulgaria","Accommodation","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Accommodation","From 15 to 24 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation","From 15 to 24 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation","From 25 to 34 years","Employed persons","Thousand","8.0"
"2008","Bulgaria","Accommodation","From 25 to 34 years","Employees","Thousand","7.8"
"2008","Bulgaria","Accommodation","From 25 to 34 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Accommodation","From 25 to 34 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation","From 25 to 34 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation","From 35 to 44 years","Employed persons","Thousand","9.2"
"2008","Bulgaria","Accommodation","From 35 to 44 years","Employees","Thousand","8.8"
"2008","Bulgaria","Accommodation","From 35 to 44 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Accommodation","From 35 to 44 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation","From 35 to 44 years","No response","Thousand",":"
"2008","Bulgaria","Accommodation","From 45 to 54 years","Employed persons","Thousand","10.2"
"2008","Bulgaria","Accommodation","From 45 to 54 years","Employees","Thousand","9.9"
"2008","Bulgaria","Accommodation","From 45 to 54 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Accommodation","From 45 to 54 years","Contributing family workers","Thousand",":"
"2008","Bulgaria","Accommodation","From 45 to 54 years","No response","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Employees","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Self-employed persons","Thousand",":"
"2008","Bulgaria","Travel agency, tour operator reservation service and related activities","From 15 to 24 years","Contributing family workers","Thousand",":"
